Congruent,Squared Deviation from Mean Congruent,Incongruent,Squared Deviation from Mean Incongruent,,,,,,
12.079,3.889277016,19.278,7.496187674,,,,Mean Congruent,,14.051125
16.791,7.506915016,18.741,10.72507917,,,,Mean Incongruent,,22.01591667
9.564,20.13429077,21.214,0.64307034,,,,,,
8.63,29.38859627,15.687,40.05518617,,,,,,
14.669,0.381769516,22.803,0.619500174,,,,,,
12.238,3.287422266,20.878,1.29485434,,,,,,
14.692,0.410720766,24.572,6.533562007,,,,,,
8.987,25.64536202,17.394,21.36211367,,,,,,
9.401,21.62366252,20.762,1.572307007,,,,,,
14.48,0.183933766,26.282,18.19946701,,,,,,
22.328,68.50665977,24.524,6.290482007,,,,,,
15.298,1.554697266,18.644,11.36982201,,,,,,
15.073,1.044228516,17.51,20.30328501,,,,,,
16.929,8.282164516,20.33,2.842315007,,,,,,
18.2,17.21316377,35.255,175.2733275,,,,,,
12.13,3.690721266,22.158,0.020187674,,,,,,
18.495,19.74802502,25.139,9.753649507,,,,,,
10.639,11.64259702,20.429,2.518304507,,,,,,
11.344,7.328525766,17.425,21.07651584,,,,,,
12.369,2.829544516,34.288,150.6040293,,,,,,
12.944,1.225725766,23.894,3.527197007,,,,,,
14.233,0.033078516,17.96,16.45046001,,,,,,
19.71,32.02286627,22.058,0.001771007,,,,,,
16.004,3.813720766,21.157,0.73773784,,,,,,
